Time,City,District,Longitude,Latitude,Geohash
109年11月24日 13時43分00秒,高雄市,大寮區,120.383900,22.610000,wsj8ekhbu1mz
109年12月07日 00時44分00秒,高雄市,大寮區,120.423174,22.549651,wsj8k313prde
109年12月15日 07時32分00秒,高雄市,大寮區,120.434916,22.582750,wsj8kx440cwn
109年01月18日 15時34分00秒,高雄市,大樹區,120.433113,22.723888,wsj9k8b8nztz
109年01月19日 18時40分00秒,高雄市,大樹區,120.433400,22.723760,wsj9k88zmxgu
109年01月29日 15時00分00秒,高雄市,大樹區,120.428829,22.682463,wsj9h3jwgje6
109年01月30日 21時16分00秒,高雄市,大樹區,120.449403,22.771831,wsj9sckxd8br
109年02月28日 09時42分00秒,高雄市,大樹區,120.444300,22.728000,wsj9kc8b5w72
109年03月28日 17時54分00秒,高雄市,大樹區,120.422961,22.727439,wsj9k33kfmey
109年06月28日 02時25分00秒,高雄市,大樹區,120.416508,22.732279,wsj9k4k9h5bn
109年10月29日 17時54分00秒,高雄市,大樹區,120.426500,22.661720,wsj8um7yhffc
109年12月06日 08時32分00秒,高雄市,大樹區,120.418000,22.658060,wsj8uhv8yb88
109年04月11日 12時42分00秒,高雄市,大社區,120.387762,22.747557,wsj97mpdn5vx
109年11月20日 08時15分00秒,高雄市,大社區,120.362044,22.740415,wsj96gubwbsg
109年11月27日 16時49分00秒,高雄市,大社區,120.369141,22.739257,wsj975d1u28z
109年01月01日 14時15分00秒,高雄市,小港區,120.372052,22.541141,wsj85pkr8j5r
109年02月04日 15時35分00秒,高雄市,小港區,120.371235,22.574926,wsj87jesmp4n
109年02月11日 07時33分00秒,高雄市,小港區,120.373360,22.536138,wsj85nt4w8de
109年03月17日 19時45分00秒,高雄市,小港區,120.365646,22.550625,wsj86cpwfv4v
109年04月25日 16時26分00秒,高雄市,小港區,120.360200,22.584890,wsj86z7webtu
109年06月04日 09時08分00秒,高雄市,小港區,120.332160,22.561835,wsj865r0nwcu
109年06月15日 00時15分00秒,高雄市,小港區,120.373360,22.536138,wsj85nt4w8de
109年07月19日 01時20分00秒,高雄市,小港區,120.375840,22.551996,wsj871rnbkgb
109年08月20日 05時35分00秒,高雄市,小港區,120.338266,22.570004,wsj86kexucdw
109年09月07日 23時05分00秒,高雄市,小港區,120.343064,22.569795,wsj86kxnsdsr
109年09月09日 06時18分00秒,高雄市,小港區,120.361417,22.513167,wsj84fks8q92
109年09月14日 11時30分00秒,高雄市,小港區,120.342776,22.583046,wsj86rngvbvs
109年10月03日 17時45分00秒,高雄市,小港區,120.369982,22.552652,wsj871ddxz5c
109年10月05日 02時58分00秒,高雄市,小港區,120.354776,22.584857,wsj86xrwmd3r
109年10月07日 13時15分00秒,高雄市,小港區,120.373189,22.535068,wsj85nmh695h
109年10月13日 19時55分00秒,高雄市,小港區,120.361800,22.554890,wsj86cuzc0nz
109年01月07日 04時05分00秒,高雄市,岡山區,120.297178,22.784500,wsj997v9r6tk
109年01月10日 20時43分00秒,高雄市,岡山區,120.255818,22.808156,wsj9b2pe5smn
109年02月17日 03時27分00秒,高雄市,岡山區,120.277600,22.813890,wsj9bcpkx1qf
109年02月19日 20時20分00秒,高雄市,岡山區,120.309769,22.825539,wsj9ceqbkucg
109年04月17日 23時34分00秒,高雄市,岡山區,120.312690,22.789940,wsj99uc10bez
109年07月29日 19時30分00秒,高雄市,岡山區,120.296619,22.788057,wsj99kmq43sq
109年09月01日 05時39分00秒,高雄市,岡山區,120.292383,22.801473,wsj99qfhpwtu
109年09月11日 09時45分00秒,高雄市,岡山區,120.298463,22.807505,wsj99ryxm756
109年11月20日 23時35分00秒,高雄市,岡山區,120.294394,22.801157,wsj99qgdqe9r
109年01月25日 10時52分00秒,高雄市,左營區,120.301520,22.627160,wsj89x0uu86f
109年02月08日 07時26分00秒,高雄市,左營區,120.306300,22.675250,wsj8cxukguzn
109年02月25日 18時35分00秒,高雄市,左營區,120.288029,22.667934,wsj8cnx461pm
109年04月06日 21時34分00秒,高雄市,左營區,120.294496,22.675669,wsj8crgz2gj6
109年06月01日 07時45分00秒,高雄市,左營區,120.306254,22.676471,wsj918hk4bsf
109年06月10日 10時22分00秒,高雄市,左營區,120.300000,22.627160,wsj89rpuc0md
109年06月27日 23時08分00秒,高雄市,左營區,120.310600,22.689370,wsj91drx0jjk
109年07月01日 16時18分00秒,高雄市,左營區,120.308468,22.665042,wsj8cwjcqqp9
109年11月06日 07時30分00秒,高雄市,左營區,120.298695,22.679990,wsj912ybdb86
109年11月16日 08時18分00秒,高雄市,左營區,120.306292,22.685053,wsj919sq5b3h
109年12月27日 17時17分00秒,高雄市,左營區,120.315087,22.685877,wsj91cffb9zp
109年02月02日 04時10分00秒,高雄市,新興區,120.305000,22.632480,wsj8c857v8jc
109年04月05日 09時45分00秒,高雄市,新興區,120.310683,22.635385,wsj8c8xsdje6
109年06月11日 00時42分00秒,高雄市,新興區,120.301656,22.628200,wsj89x2fzf0q
109年01月10日 10時44分00秒,高雄市,旗山區,120.503300,22.845190,wsj9yngffkj4
109年01月25日 13時35分00秒,高雄市,旗山區,120.502800,22.930950,wsjdqn7qqybh
109年03月18日 12時50分00秒,高雄市,旗山區,120.461669,22.810445,wsj9v0t82r4s
109年05月26日 22時32分00秒,高雄市,旗山區,120.484779,22.882211,wsjdjtw6dc6c
109年07月22日 14時35分00秒,高雄市,旗山區,120.497800,22.872940,wsjdjgzud1pc
109年09月09日 08時35分00秒,高雄市,旗山區,120.474500,22.874760,wsjdjknz5k64
109年12月09日 12時40分00秒,高雄市,旗山區,120.436500,22.773650,wsj9s9g4ju53
109年01月06日 08時50分00秒,高雄市,旗津區,120.269100,22.608980,wsj88gc6c5kg
109年08月18日 00時03分00秒,高雄市,旗津區,120.313087,22.554600,wsj83ccq445v
109年09月27日 20時32分00秒,高雄市,旗津區,120.299071,22.570780,wsj83kzh7d2g
109年10月29日 17時21分00秒,高雄市,旗津區,120.277600,22.599050,wsj88fp3p0qb
109年02月10日 13時55分00秒,高雄市,杉林區,120.532700,22.952060,wsjdwf31rqp4
109年07月26日 03時50分00秒,高雄市,杉林區,120.546400,22.974540,wsjdxn7hqswt
109年03月05日 06時40分00秒,高雄市,林園區,120.391683,22.495873,wevxgx4xcw9m
109年07月06日 18時46分00秒,高雄市,林園區,120.406303,22.487805,wevxgvv0ynwv
109年09月04日 01時51分00秒,高雄市,林園區,120.384043,22.501686,wsj852kczd29
109年11月12日 05時16分00秒,高雄市,林園區,120.399683,22.501207,wsj85b0r5cn8
109年12月18日 21時08分00秒,高雄市,林園區,120.397144,22.522358,wsj85snd0zc6
109年12月22日 18時00分00秒,高雄市,林園區,120.415626,22.493942,wevxunguxqww
109年03月09日 13時50分00秒,高雄市,桃源區,120.846800,23.265980,wsjumgmynt10
109年09月24日 19時00分00秒,高雄市,梓官區,120.264700,22.750310,wsj92tw44t5v
109年01月08日 22時43分00秒,高雄市,楠梓區,120.281427,22.727640,wsj9316q07ht
109年02月14日 16時05分00秒,高雄市,楠梓區,120.338609,22.735928,wsj966gyku4t
109年03月09日 15時00分00秒,高雄市,楠梓區,120.317180,22.722838,wsj93bs61kpb
109年04月09日 23時21分00秒,高雄市,楠梓區,120.282435,22.719871,wsj9304bzfuj
109年04月18日 16時05分00秒,高雄市,楠梓區,120.302915,22.727338,wsj9393um4g5
109年05月03日 19時54分00秒,高雄市,楠梓區,120.305793,22.708030,wsj91tu5b5t5
109年07月28日 08時22分00秒,高雄市,楠梓區,120.301520,22.627160,wsj89x0uu86f
109年09月04日 09時18分00秒,高雄市,楠梓區,120.331123,22.732545,wsj964q6wms8
109年09月22日 21時49分00秒,高雄市,楠梓區,120.312500,22.720560,wsj93b0uu7q5
109年12月11日 14時00分00秒,高雄市,楠梓區,120.289526,22.720764,wsj9320nj17s
109年01月15日 00時48分00秒,高雄市,橋頭區,120.282028,22.761395,wsj93pddwrs9
109年04月07日 02時15分00秒,高雄市,橋頭區,120.305273,22.758562,wsj93x5dhp3q
109年07月15日 02時10分00秒,高雄市,橋頭區,120.319538,22.734883,wsj93fy023q5
109年10月22日 15時27分00秒,高雄市,橋頭區,120.310100,22.758010,wsj93wzph889
109年10月28日 10時45分00秒,高雄市,橋頭區,120.276300,22.742920,wsj92unx0gtd
109年12月04日 18時25分00秒,高雄市,橋頭區,120.298339,22.743241,wsj93kq8frrj
109年03月22日 08時35分00秒,高雄市,永安區,120.243261,22.801512,wsj98nykrjcv
